,timestamp,count,in_china
12474,2016-09-23,108,1
12475,2016-09-23,135,1
12476,2016-09-23,132,1
12477,2016-09-23,115,1
12478,2016-09-23,106,1
12479,2016-09-23,112,1
12480,2016-09-23,118,1
12481,2016-09-23,126,1
12482,2016-09-23,125,1
12483,2016-09-23,129,1
12484,2016-09-23,128,1
12492,2016-09-23,128,1
12493,2016-09-23,126,1
12494,2016-09-23,124,1
12495,2016-09-23,107,1
12496,2016-09-23,109,1
12498,2016-09-23,124,1
12499,2016-09-23,124,1
12506,2016-09-23,125,1
12508,2016-09-23,116,1
12512,2016-09-23,112,1
12513,2016-09-23,114,1
12514,2016-09-23,93,1
12515,2016-09-23,104,1
12516,2016-09-23,127,1
12520,2016-09-23,122,1
12524,2016-09-23,109,1
12526,2016-09-23,107,1
12527,2016-09-23,99,1
12531,2016-09-23,85,1
12532,2016-09-23,88,1
12533,2016-09-23,98,1
12534,2016-09-23,94,1
12535,2016-09-23,106,1
12536,2016-09-23,90,1
12537,2016-09-23,87,1
12540,2016-09-23,94,1
12542,2016-09-23,85,1
12543,2016-09-23,90,1
12544,2016-09-23,98,1
12545,2016-09-23,102,1
12547,2016-09-23,109,1
12548,2016-09-23,107,1
12549,2016-09-23,105,1
12550,2016-09-23,121,1
12551,2016-09-23,124,1
12552,2016-09-23,106,1
